[Sun Sep  6 05:08:43.476 2009] 0.023 sec [scan/2/rel 0 (0,20)] [project_core] 
[Sun Sep  6 05:10:12.839 2009] 0.000 sec [scan/2/rel 0 (0,20)] [experiment_core] 
[Sun Sep  6 05:58:34.479 2009] 0.013 sec [all/2/rel 14 (0,20)] [*] modi
[Sun Sep  6 05:58:34.564 2009] 0.000 sec [all/2/rel 22 (0,20)] [*] modi
[Sun Sep  6 05:58:34.656 2009] 0.000 sec [all/3/rel 80 (0,20)] [*] modi
[Sun Sep  6 05:58:59.966 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] mod
[Sun Sep  6 05:58:59.968 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] mod
[Sun Sep  6 05:59:00.066 2009] 0.000 sec [all/3/rel 0 (0,20)] [*] mod
[Sun Sep  6 05:59:13.173 2009] 0.000 sec [all/2/rel 6 (0,20)] [*] Expedita Modi Nisi
[Sun Sep  6 05:59:13.185 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] Expedita Modi Nisi
[Sun Sep  6 05:59:13.189 2009] 0.001 sec [all/3/rel 4 (0,20)] [*] Expedita Modi Nisi
[Sun Sep  6 05:59:26.951 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] mod
[Sun Sep  6 05:59:26.957 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] mod
[Sun Sep  6 05:59:26.960 2009] 0.000 sec [all/3/rel 0 (0,20)] [*] mod
[Sun Sep  6 06:00:47.395 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] mo
[Sun Sep  6 06:00:47.397 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] mo
[Sun Sep  6 06:00:47.400 2009] 0.000 sec [all/3/rel 0 (0,20)] [*] mo
[Sun Sep  6 06:00:49.009 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] mod
[Sun Sep  6 06:00:49.012 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] mod
[Sun Sep  6 06:00:49.015 2009] 0.000 sec [all/3/rel 0 (0,20)] [*] mod
[Sun Sep  6 06:00:54.397 2009] 0.000 sec [all/2/rel 14 (0,20)] [*] modi
[Sun Sep  6 06:00:54.475 2009] 0.000 sec [all/2/rel 22 (0,20)] [*] modi
[Sun Sep  6 06:00:54.487 2009] 0.000 sec [all/3/rel 80 (0,20)] [*] modi
[Sun Sep  6 06:00:58.492 2009] 0.001 sec [all/2/rel 3 (0,20)] [*] Repellendus Modi Aut Hic
[Sun Sep  6 06:00:58.498 2009] 0.000 sec [all/2/rel 0 (0,20)] [*] Repellendus Modi Aut Hic
[Sun Sep  6 06:00:58.501 2009] 0.001 sec [all/3/rel 10 (0,20)] [*] Repellendus Modi Aut Hic
